customer_id,total_orders,total_spend,avg_order_value,avg_discount_pct,return_rate,avg_rating
CUST00001,6,2955.57,492.595,0.36333333333333334,0.16666666666666666,3.3333333333333335
CUST00002,1,581.0,581.0,0.23,0.0,4.0
CUST00003,1,649.98,649.98,0.47,0.0,2.0
CUST00004,1,1604.04,1604.04,0.16,0.0,2.0
CUST00005,4,2550.91,637.7275,0.4425,0.0,2.0
CUST00006,5,3770.16,754.0319999999999,0.358,0.2,4.75
CUST00007,1,719.33,719.33,0.18,0.0,5.0
CUST00008,4,2747.33,686.8325,0.2225,0.0,2.75
CUST00009,1,376.85,376.85,0.49,0.0,4.0
CUST00010,1,636.8,636.8,0.45,0.0,4.0
CUST00011,2,925.0699999999999,462.53499999999997,0.15500000000000003,0.0,4.0
CUST00012,2,2051.63,1025.815,0.29500000000000004,0.0,4.0
CUST00013,3,1754.44,584.8133333333334,0.23,0.0,5.0
CUST00014,11,8130.16,739.1054545454546,0.2618181818181818,0.0,4.0
CUST00015,4,4200.93,1050.2325,0.3025,0.0,4.25
CUST00016,1,478.02,478.02,0.22,0.0,1.0
CUST00017,3,1699.1399999999999,566.38,0.26666666666666666,0.0,5.0
CUST00018,1,329.21,329.21,0.36,0.0,4.0
CUST00019,2,1598.93,799.465,0.105,0.0,4.0
CUST00020,3,4487.950000000001,1495.9833333333336,0.13,0.0,4.333333333333333
CUST00021,2,1059.3,529.65,0.435,0.0,4.0
CUST00022,1,454.06,454.06,0.31,0.0,5.0
CUST00023,1,400.98,400.98,0.25,0.0,3.0
CUST00024,1,481.35,481.35,0.34,0.0,5.0
CUST00025,7,4868.86,695.5514285714286,0.31142857142857144,0.0,4.285714285714286
CUST00026,3,3561.3900000000003,1187.13,0.16333333333333333,0.3333333333333333,3.0
CUST00027,1,2128.34,2128.34,0.3,1.0,1.0
CUST00028,2,1489.7800000000002,744.8900000000001,0.19,0.0,2.5
CUST00029,8,5252.9,656.6125,0.23374999999999999,0.0,4.0
CUST00030,6,3435.5899999999997,572.5983333333332,0.34,0.0,4.333333333333333
CUST00031,1,672.95,672.95,0.24,0.0,4.0
CUST00032,3,1948.75,649.5833333333334,0.3666666666666667,0.0,4.333333333333333
CUST00033,4,2128.09,532.0225,0.405,0.5,3.3333333333333335
CUST00034,6,3353.01,558.835,0.26166666666666666,0.0,4.333333333333333
CUST00035,3,1369.71,456.57,0.24333333333333332,0.0,4.333333333333333
CUST00036,4,1737.33,434.3325,0.365,0.25,2.75
CUST00037,1,435.83,435.83,0.43,0.0,3.0
CUST00038,4,2104.61,526.1525,0.355,0.0,4.0
CUST00039,3,1598.49,532.83,0.2966666666666667,0.0,3.3333333333333335
CUST00040,1,634.73,634.73,0.38,0.0,5.0
CUST00041,4,1911.8600000000001,477.96500000000003,0.3475,0.0,4.5
CUST00042,9,7523.74,835.9711111111111,0.21888888888888888,0.2222222222222222,3.5555555555555554
CUST00043,1,363.01,363.01,0.43,0.0,5.0
CUST00044,3,2724.09,908.0300000000001,0.38666666666666666,0.0,4.666666666666667
CUST00045,1,413.75,413.75,0.33,0.0,4.0
CUST00046,1,489.87,489.87,0.13,0.0,3.0
CUST00047,1,764.43,764.43,0.16,0.0,3.0
CUST00048,4,2450.45,612.6125,0.3125,0.25,3.25
CUST00049,1,380.83,380.83,0.47,0.0,5.0
CUST00050,3,2466.39,822.13,0.3333333333333333,0.3333333333333333,3.0
CUST00051,4,4444.3,1111.075,0.3525,0.0,4.0
CUST00052,3,2807.14,935.7133333333333,0.21,0.3333333333333333,3.6666666666666665
CUST00053,4,4192.59,1048.1475,0.395,0.0,4.25
CUST00054,1,489.85,489.85,0.25,0.0,5.0
CUST00055,3,1308.35,436.1166666666666,0.24666666666666667,0.0,4.0
CUST00056,4,3530.41,882.6025,0.28500000000000003,0.0,3.5
CUST00057,2,2510.83,1255.415,0.245,0.0,4.0
CUST00058,4,2451.54,612.885,0.23249999999999998,0.0,3.75
CUST00059,3,2852.63,950.8766666666667,0.32666666666666666,0.0,4.333333333333333
CUST00060,1,293.22,293.22,0.36,0.0,5.0
CUST00061,4,1966.0900000000001,491.52250000000004,0.41,0.0,4.75
CUST00062,4,2805.19,701.2975,0.2525,0.0,4.5
CUST00063,1,397.69,397.69,0.22,0.0,5.0
CUST00064,1,654.93,654.93,0.43,0.0,4.0
CUST00065,1,1911.67,1911.67,0.0,0.0,5.0
CUST00066,5,4598.95,919.79,0.292,0.0,3.4
CUST00067,2,1246.44,623.22,0.19999999999999998,0.5,2.5
CUST00068,3,2123.66,707.8866666666667,0.24333333333333332,0.3333333333333333,4.333333333333333
CUST00069,2,874.47,437.235,0.225,0.0,5.0
CUST00070,1,542.98,542.98,0.34,0.0,2.0
CUST00071,1,2062.5,2062.5,0.08,0.0,4.0
CUST00072,4,2587.02,646.755,0.1925,0.0,3.5
CUST00073,5,4077.07,815.414,0.154,0.0,3.6
CUST00074,4,2523.65,630.9125,0.39,0.25,3.5
CUST00075,9,6791.61,754.6233333333333,0.3011111111111111,0.0,4.0
CUST00076,2,1385.27,692.635,0.22000000000000003,0.0,5.0
CUST00077,1,394.32,394.32,0.36,0.0,4.0
CUST00078,1,894.45,894.45,0.42,1.0,1.0
CUST00079,1,619.57,619.57,0.05,0.0,1.0
CUST00080,3,2563.41,854.4699999999999,0.18999999999999997,0.0,2.6666666666666665
CUST00081,8,5311.16,663.895,0.16,0.25,3.625
CUST00082,3,1671.25,557.0833333333334,0.17,0.0,2.0
CUST00083,2,806.87,403.435,0.33499999999999996,0.5,3.5
CUST00084,1,1273.18,1273.18,0.12,0.0,5.0
CUST00085,1,1257.8,1257.8,0.2,0.0,5.0
CUST00086,5,2195.41,439.082,0.266,0.0,4.2
CUST00087,1,933.58,933.58,0.38,0.0,5.0
CUST00088,12,6774.5,564.5416666666666,0.365,0.0,4.416666666666667
CUST00089,2,2825.75,1412.875,0.25,0.0,4.0
CUST00090,4,1966.31,491.5775,0.375,0.0,4.5
CUST00091,4,3726.87,931.7175,0.16499999999999998,0.0,4.0
CUST00092,1,430.85,430.85,0.26,0.0,4.0
CUST00093,1,759.64,759.64,0.12,0.0,4.0
CUST00094,4,3557.43,889.3575,0.1975,0.0,3.5
CUST00095,1,372.65,372.65,0.41,0.0,4.0
CUST00096,3,1563.75,521.25,0.37666666666666665,0.3333333333333333,2.6666666666666665
CUST00097,7,4703.46,671.9228571428572,0.3685714285714286,0.14285714285714285,3.5714285714285716
CUST00098,2,1843.57,921.785,0.195,0.0,3.5
CUST00099,5,3410.87,682.174,0.192,0.0,4.4
CUST00100,1,372.37,372.37,0.29,0.0,5.0
CUST00101,5,3514.87,702.9739999999999,0.274,0.0,3.8
CUST00102,1,732.65,732.65,0.16,0.0,5.0
CUST00103,1,1469.96,1469.96,0.08,0.0,5.0
CUST00104,1,955.63,955.63,0.31,0.0,5.0
CUST00105,1,2052.43,2052.43,0.18,0.0,5.0
CUST00106,7,4352.11,621.7299999999999,0.2814285714285714,0.0,2.857142857142857
CUST00107,3,3548.15,1182.7166666666667,0.11333333333333334,0.0,4.333333333333333
CUST00108,1,1074.5,1074.5,0.22,1.0,1.0
